Mortgages.NumMortCharges,Mortgages.NumMortOutstanding,Mortgages.NumMortPartSatisfied,Mortgages.NumMortSatisfied,sic_code_1,bcb_sector,company_age_years,accounts_overdue_days,accounts_ever_late,conf_stmt_overdue_days,num_mortgages_outstanding,num_mortgages_total,has_active_mortgages,has_changed_name,is_active,is_dormant,is_micro,is_small,is_full_accounts,fast_growth_proxy,label_growth_opportunity,label_risk_signal,label_lending_need_proxy,has_mortgage_history,mortgage_completion_rate,mortgage_active_ratio,mortgage_per_year,company_size_score,log_company_age,age_bucket,is_established,total_overdue_days,overdue_intensity,is_severely_overdue,log_overdue,sector_avg_age,sector_mortgage_rate,sector_overdue_rate,sector_dormant_rate,age_vs_sector_avg,sic_division,active_with_mortgages,small_and_growing,overdue_and_active,full_accounts_with_charges
0,0,0,0,68100,Real_Estate,3.1594799,0.0,0,0.0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,1.4253900424185535,1,0,0.0,0.0,0,0.0,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,-5.693960850825946,68,0,0,0,0
0,0,0,0,70229,Technology_Legal_Professional,2.3189597,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.199651390452611,1,0,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,-6.71929875811208,70,0,0,0,0
0,0,0,0,68320,Real_Estate,23.077345,0.0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3.181271356886735,4,1,0.0,0.0,0,0.0,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,14.223904249174057,68,0,0,0,0
0,0,0,0,68100,Real_Estate,0.9007529,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.6422500708387792,0,0,0.0,0.0,0,0.0,8.853440750825946,0.3873359004094081,0.034972674094529,0.1084434805451085,-7.952687850825947,68,0,0,0,0
0,0,0,0,45190,Wholesale_Retail,2.1054072,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.1331448501041392,1,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-5.143419291578746,45,0,0,0,0
3,1,0,2,62012,Technology_Legal_Professional,25.837097,0.0,0,0.0,1,3,1,1,1,0,0,0,1,0,0,0,1,1,0.6666666666666666,0.3333333333333333,0.0387040386154837,3,3.289785146790337,4,1,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,16.798838541887918,62,1,0,0,1
0,0,0,0,45200,Wholesale_Retail,5.284052,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.838014995343224,2,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-1.964774491578746,45,0,0,0,0
0,0,0,0,47730,Wholesale_Retail,6.425736,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,2.004951804355372,2,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-0.8230904915787463,47,0,0,0,0
0,0,0,0,74100,Technology_Legal_Professional,20.386038,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,3.062738279196255,4,1,0.0,0.0,0,0.0,9.03825845811208,0.0481746383262365,0.0589851646881865,0.1179571736165622,11.34777954188792,74,0,0,0,0
0,0,0,0,1500,Agriculture,4.66256,0.0,0,0.0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0.0,0.0,0.0,1,1.7338760867795049,1,0,0.0,0.0,0,0.0,17.44300648717351,0.2576721276367919,0.0993468251418781,0.0758325302494913,-12.78044648717351,1,0,0,0,0
0,0,0,0,46310,Wholesale_Retail,0.57494867,0.0,0,0.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0.4542226812703248,0,0,0.0,0.0,0,0.0,7.248826491578746,0.0776654102669647,0.0824878866388483,0.0999402739328001,-6.6738778215787455,46,0,0,0,0
0,0,0,0,85600,Public_Sector_Education_Charities,4.5585217,641.0,1,556.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0,1.715332191614829,1,0,1197.0,0.7194113071337405,1,6.464588303689961,8.051892748571513,0.0593602177532306,0.0576557173436219,0.093377553447319,-3.493371048571513,85,0,0,0,0
